locality,orgname,created_at,updated_at
KASOA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
WEIJA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
GBAWE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ABLEKUMA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AWOSHIE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
MALLAM,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
MCCARTHY,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ODORKOR,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SCC,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ANYAA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
KWASHIEMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
TETEGU,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
TUBA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
BORTIANOR,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SANTA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
OBLOGO,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
DANSOMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SOWUTUOM,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AGAPE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
LAPAZ,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AMANFROM,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ABLEKUMAH,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ABLEKUMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
UPPER,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ACCRA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AMANFRO,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AMASAMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
KOKROBITE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
APLAKU,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
KWASHIEBU,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
DARKUMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
CHOICE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
TABORA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
OFANKOR,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
GBEWE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
BARRIER,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
TOP,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SAMPA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
GALILEA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
NIC,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SOUTH,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SAKAMAN,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
ODOKOR,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
SOWUTOUM,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
WHITE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
BLOCK,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
MATAHEKO,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
POKUASE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
MILE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
NORTH,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
BROADCASTING,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
WEST,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
OMANJOR,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
BUBIASHIE,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
AWOSHI,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
TEMA,weija,2025-08-01 04:42:57.629413,2025-08-01 04:42:57.630393
