locality,orgname,created_at,updated_at
ABEKA,weija,2025-08-01 04:46:29.904001,2025-08-01 04:46:29.904039
ABLEKUMA,weija,2025-08-01 04:46:29.904045,2025-08-01 04:46:29.904049
ACCRA,weija,2025-08-01 04:46:29.904051,2025-08-01 04:46:29.904053
ADENTA,weija,2025-08-01 04:46:29.904056,2025-08-01 04:46:29.904058
AGONA,weija,2025-08-01 04:46:29.904060,2025-08-01 04:46:29.904062
AMANFRO,weija,2025-08-01 04:46:29.904065,2025-08-01 04:46:29.904067
AMANFROM,weija,2025-08-01 04:46:29.904069,2025-08-01 04:46:29.904071
AMASAMAN,weija,2025-08-01 04:46:29.904074,2025-08-01 04:46:29.904076
APLAKU,weija,2025-08-01 04:46:29.904078,2025-08-01 04:46:29.904080
AWOSHI,weija,2025-08-01 04:46:29.904083,2025-08-01 04:46:29.904085
AWOSHIE,weija,2025-08-01 04:46:29.904087,2025-08-01 04:46:29.904089
AWUTU,weija,2025-08-01 04:46:29.904091,2025-08-01 04:46:29.904098
BAAH,weija,2025-08-01 04:46:29.904101,2025-08-01 04:46:29.904103
BARRIER,weija,2025-08-01 04:46:29.904105,2025-08-01 04:46:29.904107
BAWJIASE,weija,2025-08-01 04:46:29.904110,2025-08-01 04:46:29.904112
BLOCKFACTORY,weija,2025-08-01 04:46:29.904114,2025-08-01 04:46:29.904116
BORTIANOR,weija,2025-08-01 04:46:29.904118,2025-08-01 04:46:29.904120
BRIGADE,weija,2025-08-01 04:46:29.904123,2025-08-01 04:46:29.904125
BUBIASHIE,weija,2025-08-01 04:46:29.904127,2025-08-01 04:46:29.904129
BUSIA,weija,2025-08-01 04:46:29.904131,2025-08-01 04:46:29.904133
CHOICE,weija,2025-08-01 04:46:29.904135,2025-08-01 04:46:29.904137
DANSOMAN,weija,2025-08-01 04:46:29.904139,2025-08-01 04:46:29.904141
DARKUMAN,weija,2025-08-01 04:46:29.904144,2025-08-01 04:46:29.904149
DJAMAN,weija,2025-08-01 04:46:29.904151,2025-08-01 04:46:29.904153
DOME,weija,2025-08-01 04:46:29.904155,2025-08-01 04:46:29.904158
FANMILK,weija,2025-08-01 04:46:29.904160,2025-08-01 04:46:29.904162
GALELIA,weija,2025-08-01 04:46:29.904164,2025-08-01 04:46:29.904166
GALILEA,weija,2025-08-01 04:46:29.904169,2025-08-01 04:46:29.904171
GBAWE,weija,2025-08-01 04:46:29.904173,2025-08-01 04:46:29.904175
GBEWE,weija,2025-08-01 04:46:29.904177,2025-08-01 04:46:29.904179
KALABULE,weija,2025-08-01 04:46:29.904181,2025-08-01 04:46:29.904183
KANESHIE,weija,2025-08-01 04:46:29.904185,2025-08-01 04:46:29.904187
KAOSA,weija,2025-08-01 04:46:29.904190,2025-08-01 04:46:29.904194
KASOA,weija,2025-08-01 04:46:29.904197,2025-08-01 04:46:29.904199
KOKROBITE,weija,2025-08-01 04:46:29.904201,2025-08-01 04:46:29.904203
KWAHU,weija,2025-08-01 04:46:29.904205,2025-08-01 04:46:29.904207
