locality,orgname,count
KASOA,weija,295
WEIJA,weija,220
GBAWE,weija,149
ABLEKUMA,weija,123
AWOSHIE,weija,119
MALLAM,weija,115
MCCARTHY,weija,105
ODORKOR,weija,84
SCC,weija,80
ANYAA,weija,48
KWASHIEMAN,weija,45
TETEGU,weija,43
TUBA,weija,41
BORTIANOR,weija,39
SANTA,weija,38
OBLOGO,weija,34
DANSOMAN,weija,30
SOWUTUOM,weija,26
AGAPE,weija,21
LAPAZ,weija,20
AMANFROM,weija,19
ABLEKUMAH,weija,18
ABLEKUMAN,weija,18
UPPER,weija,17
ACCRA,weija,16
AMANFRO,weija,16
AMASAMAN,weija,15
KOKROBITE,weija,15
APLAKU,weija,14
KWASHIEBU,weija,13
DARKUMAN,weija,13
CHOICE,weija,12
TABORA,weija,12
OFANKOR,weija,11
GBEWE,weija,10
BARRIER,weija,10
TOP,weija,9
SAMPA,weija,9
GALILEA,weija,9
NIC,weija,9
SOUTH,weija,9
SAKAMAN,weija,8
ODOKOR,weija,8
SOWUTOUM,weija,8
WHITE,weija,8
BLOCK,weija,8
MATAHEKO,weija,7
POKUASE,weija,7
MILE,weija,7
NORTH,weija,7
BROADCASTING,weija,7
WEST,weija,6
OMANJOR,weija,6
BUBIASHIE,weija,6
AWOSHI,weija,6
TEMA,weija,6
MACCARTHY,weija,6
BLOCKFACTORY,weija,5
MCCHARTHY,weija,5
KANESHIE,weija,5
MCCATHY,weija,5
AWUTU,weija,5
ABEKA,weija,5
OLEBU,weija,5
RED,weija,5
RUSSIA,weija,5
DOME,weija,5
AGONA,weija,4
KWASHIMAN,weija,4
MALLA,weija,4
WES,weija,4
DJAMAN,weija,4
RACE,weija,4
BAAH,weija,4
ADENTA,weija,4
MALAM,weija,4
KALABULE,weija,4
PALAS,weija,4
BEHIND,weija,4
GALELIA,weija,4
TESHIE,weija,4
EAST,weija,4
BAWJIASE,weija,4
ODORKO,weija,4
FANMILK,weija,4
TATOP,weija,4
KWAHU,weija,3
BUSIA,weija,3
TABOLA,weija,3
PALACE,weija,3
AUNTY,weija,3
MENDS,weija,3
KAOSA,weija,3
NII,weija,3
SOWUTUM,weija,3
MCARTHY,weija,3
LIBERIA,weija,3
BRIGADE,weija,3
MENSKROM,weija,3
KWASHIBU,weija,3
MENDSKROM,weija,3
DARKOMAN,weija,3
TENTRA,weija,3
MADINA,weija,3
MCCARTH,weija,3
AKIM,weija,3
TOPBASE,weija,3
ACHIMOTA,weija,3
NYAMEKYE,weija,3
MAMPROBI,weija,3
ADABRAKA,weija,3
AGEGE,weija,3
ATICO,weija,3
JAMES,weija,3
NWE,weija,3
OSU,weija,3
JEI,weija,2
OFAAKOR,weija,2
SUKURA,weija,2
GOMOA,weija,2
SENTA,weija,2
MODEX,weija,2
CAMARA,weija,2
BENJEYS,weija,2
KENESHIE,weija,2
KWABENYA,weija,2
DOMEABRA,weija,2
SOWUTEOM,weija,2
ASAMANKESE,weija,2
MANGOASE,weija,2
BULEMI,weija,2
ANTIE,weija,2
ASOFAN,weija,2
KASAO,weija,2
ABOSSEY,weija,2
BUBUASHIE,weija,2
NSAWAM,weija,2
NYANYANO,weija,2
AMERICAN,weija,2
ODUMAN,weija,2
