region,periodname,population
Ashanti,2021,5440463
Bono,2021,1208649
Greater Accra,2021,5455692
Central,2021,2859821
Eastern,2021,2925653
Northern,2021,2310939
Western,2021,2060585
Upper East,2021,1301226
Upper West,2021,901502
Volta,2021,1659040
North East,2021,658946
Oti,2021,747248
Bono East,2021,1203400
Savannah,2021,653266
Ahafo,2021,564668
Western North,2021,880921
Ashanti,2020,5335879
Bono,2020,1185414
Greater Accra,2020,5350816
Central,2020,2804846
Eastern,2020,2869412
Northern,2020,2266515
Western,2020,2020973
Upper East,2020,1276212
Upper West,2020,884172
Volta,2020,1627147
North East,2020,646278
Oti,2020,732883
Bono East,2020,1180266
Savannah,2020,640708
Ahafo,2020,553813
Western North,2020,863986
Ashanti,2022,5547096
Bono,2022,1232338
Greater Accra,2022,5562623
Central,2022,2915873
Eastern,2022,2982995
Northern,2022,2356233
Western,2022,2100972
Upper East,2022,1326730
Upper West,2022,919171
Volta,2022,1691557
North East,2022,671861
Oti,2022,761894
Bono East,2022,1226986
Savannah,2022,666070
Ahafo,2022,575735
Western North,2022,898187
Ashanti,2023,5654154
Bono,2023,1256122
Greater Accra,2023,5669981
Central,2023,2972149
Eastern,2023,3040566
Northern,2023,2401708
Western,2023,2141520
Upper East,2023,1352335
Upper West,2023,936911
Volta,2023,1724204
North East,2023,684827
Oti,2023,776598
Bono East,2023,1250666
Savannah,2023,678925
Ahafo,2023,586846
Western North,2023,915522
Ashanti,2024,5761017
Bono,2024,1279862
Greater Accra,2024,5777143
Central,2024,3028322
Eastern,2024,3098032
Northern,2024,2447100
Western,2024,2181994
Upper East,2024,1377894
Upper West,2024,954618
Volta,2024,1756791
North East,2024,697770
Oti,2024,791275
Bono East,2024,1274303
Savannah,2024,691756
Ahafo,2024,597937
Western North,2024,932825
Ashanti,2025,5867595
Bono,2025,1303539
Greater Accra,2025,5884020
Central,2025,3084345
Eastern,2025,3155345
Northern,2025,2492371
Western,2025,2222360
Upper East,2025,1403385
Upper West,2025,972278
Volta,2025,1789291
North East,2025,710678
Oti,2025,805913
Bono East,2025,1297877
Savannah,2025,704553
Ahafo,2025,608998
Western North,2025,950082
