organisationunitname,Cholera lab confirmed cases 2022,Cholera lab confirmed cases 2024,Cholera lab confirmed cases 2025,Cholera lab confirmed cases 2020,Cholera lab confirmed cases 2023,Cholera lab confirmed cases 2021,Diabetes mellitus lab confirmed cases 2021,Diabetes mellitus lab confirmed cases 2023,Diabetes mellitus lab confirmed cases 2020,Diabetes mellitus lab confirmed cases 2022,Diabetes mellitus lab confirmed cases 2025,Diabetes mellitus lab confirmed cases 2024,Meningococcal Meningitis lab confirmed cases 2022,Meningococcal Meningitis lab confirmed cases 2023,Meningococcal Meningitis lab confirmed cases 2025,Meningococcal Meningitis lab confirmed cases 2020,Meningococcal Meningitis lab confirmed cases 2024,Meningococcal Meningitis lab confirmed cases 2021
Ahafo,,,,,,,91,477,422,218,489,888,,,1.0,,1.0,
Ashanti,22.0,1.0,3.0,33.0,,,8942,9789,6063,13466,1289,7992,12.0,1.0,,2.0,2.0,1.0
Bono,,,,,,,1915,1343,1967,1686,165,991,1.0,,2.0,4.0,4.0,
Bono East,,,,,,,2175,1687,2300,1375,589,2739,2.0,2.0,,8.0,3.0,4.0
Central,,161.0,43.0,,,,3713,3630,2943,3813,558,2915,,8.0,1.0,,4.0,
Eastern,,2.0,,,,,3951,2185,2064,4716,565,3051,,1.0,,4.0,2.0,1.0
Ghana,83.0,516.0,83.0,35.0,20.0,5.0,34143,33430,30790,43080,5884,32347,44.0,44.0,23.0,158.0,60.0,27.0
Greater Accra,,38.0,31.0,2.0,,,6353,7929,7663,8093,1187,7131,14.0,1.0,,1.0,1.0,
North East,,,,,,,15,52,44,22,4,5,,,,,5.0,
Northern,8.0,,,,,,338,790,578,2496,142,502,1.0,2.0,,3.0,3.0,3.0
Oti,,,,,,5.0,1698,1203,388,1278,118,603,,1.0,,,,
Savannah,,,,,,,165,378,124,302,77,451,3.0,3.0,4.0,6.0,8.0,4.0
Upper East,,3.0,,,,,211,515,181,232,34,238,,3.0,,13.0,6.0,1.0
Upper West,,6.0,,,,,216,281,217,104,60,494,9.0,2.0,13.0,115.0,19.0,13.0
Volta,,2.0,,,20.0,,1176,777,1277,819,106,721,2.0,20.0,,1.0,,
Western,,303.0,6.0,,,,2519,1342,4028,2273,265,2422,,,2.0,1.0,2.0,
Western North,53.0,,,,,,665,1052,531,2187,236,1204,,,,,,
